iter	RMSE
0	3713.518257
1	3421.244825
2	3148.966287
3	2899.395417
4	2668.958694
5	2467.256043
6	2281.011825
7	2115.081243
8	1961.408916
9	1825.751986
10	1700.411644
11	1589.727197
12	1490.105573
13	1398.58245
14	1314.45991
15	1241.881355
16	1173.408781
17	1114.122105
18	1059.631957
19	1011.585376
20	969.9810339
21	930.9193873
22	895.908861
23	864.6481956
24	837.2777481
25	811.7396858
26	790.719
27	771.7326894
28	754.8598985
29	739.8520474
30	727.4181912
31	714.8054429
32	703.888664
33	695.0361045
34	686.5091181
35	678.6364142
36	671.4351654
37	664.8011301
38	659.1435094
39	653.953012
40	649.4424396
41	645.2791548
42	641.1889895
43	637.332505
44	633.6243596
45	630.3703243
46	627.8677102
47	625.0626763
48	622.7578084
49	620.5064651
50	618.033375
51	616.1162701
52	614.4001757
53	613.0492028
54	611.6273685
55	610.3094047
56	608.9689401
57	607.7178199
58	606.1746315
59	605.171398
60	604.3123346
61	603.4722014
62	602.6004147
63	601.7210975
64	600.6714
65	599.9673174
66	599.3307466
67	598.7020243
68	598.036362
69	597.3943433
70	596.8406015
71	596.3760944
72	595.8741497
73	595.3450838
74	594.7943947
75	594.0136205
76	593.6814159
77	593.0004432
78	592.4477237
79	592.0508359
80	591.5548027
81	590.8837145
82	590.3926832
83	589.9390099
84	589.5835246
85	589.2593692
86	588.9073003
87	588.4586703
88	588.2113774
89	587.9279795
90	587.695283
91	587.5087967
92	587.2763267
93	587.0124674
94	586.842862
95	586.5827656
96	586.2754859
97	585.8067672
98	585.5754883
99	585.3583767
100	584.9817565
101	584.7814501
102	584.5939524
103	584.2131036
104	584.0057635
105	583.8361809
106	583.4327625
107	583.3224244
108	583.1350397
109	582.7835973
110	582.3923186
111	582.2611192
112	582.0960741
113	581.8572357
114	581.5400392
115	581.2766168
116	581.0305074
117	580.8564511
118	580.5705222
119	580.4491605
120	580.3174558
121	580.1555022
122	579.9275763
123	579.8287567
124	579.6241756
125	579.3251015
126	579.2130041
127	579.0465334
128	578.9188737
129	578.7597515
130	578.582047
131	578.407649
132	578.2650496
133	578.1083929
134	577.8154614
135	577.6573417
136	577.4817889
137	577.279904
138	577.1353403
139	577.0405263
140	576.8524749
141	576.5743473
142	576.3051961
143	576.0960299
144	575.8686061
145	575.6870679
146	575.5332218
147	575.4204804
148	575.1861336
149	574.9741882
150	574.8196788
151	574.656191
152	574.4738287
153	574.3473993
154	574.2324456
155	574.1264242
156	573.901849
157	573.7444123
158	573.5666139
159	573.3717921
160	573.1645101
161	573.0140411
162	572.8814188
163	572.7351485
164	572.5514651
165	572.3973897
166	572.2387003
167	572.136912
168	572.0117648
169	571.8825597
170	571.7442433
171	571.5655884
172	571.4537669
173	571.3664911
174	571.2379972
175	571.1293249
176	571.0082479
177	570.8752074
178	570.7877115
179	570.7010152
180	570.6204192
181	570.4994517
182	570.3214496
183	570.2319996
184	570.1288904
185	570.0081776
186	569.868054
187	569.7641523
188	569.5831418
189	569.5207594
190	569.4286316
191	569.3518225
192	569.2180636
193	569.13287
194	569.0531304
195	568.9450105
196	568.851803
197	568.7751102
198	568.6758084
199	568.5899496
200	568.4800008
201	568.3618567
202	568.2361492
203	568.1073467
204	567.9852697
205	567.769242
206	567.6298128
207	567.4617187
208	567.3832166
209	567.3329871
210	567.2684197
211	567.134
212	567.0743113
213	566.9425379
214	566.8568774
215	566.7244015
216	566.7019741
217	566.6277996
218	566.5164676
219	566.3909753
220	566.3102335
221	566.2332209
222	566.1627341
223	566.053466
224	565.9256273
225	565.8519345
226	565.7608341
227	565.5861871
228	565.5251199
229	565.379258
230	565.3321437
231	565.2483087
232	565.1748379
233	565.0631228
234	564.9989078
235	564.9576285
236	564.9407881
237	564.8351217
238	564.7402505
239	564.6097424
240	564.502985
241	564.3877683
242	564.2622607
243	564.2327896
244	564.1672132
245	564.0808303
246	564.0262747
247	563.8848476
248	563.811984
249	563.7310718
250	563.6877204
251	563.6165603
252	563.5031305
253	563.3425737
254	563.2517944
255	563.192249
256	563.1000496
257	563.0316808
258	563.0130462
259	562.9086226
260	562.829701
261	562.7280684
262	562.6045637
263	562.4969054
264	562.4092117
265	562.2975478
266	562.2059327
267	562.1380426
268	562.0948436
269	562.0174456
270	561.933555
271	561.8236146
272	561.7029926
273	561.6324023
274	561.5597392
275	561.4404466
276	561.4152638
277	561.3218977
278	561.2183311
279	561.1285533
280	561.1164141
281	561.0312877
282	560.9336837
283	560.8390274
284	560.7501851
285	560.6833197
286	560.6564207
287	560.5442363
288	560.4789707
289	560.3875414
290	560.2942617
291	560.2207391
292	560.1671914
293	560.054404
294	559.9583646
295	559.8736985
296	559.795124
297	559.7531799
298	559.6810792
299	559.6171307
300	559.5157278
301	559.4692553
302	559.4149817
303	559.373894
304	559.2912831
305	559.20598
306	559.1388816
307	559.0367555
308	559.0240699
309	558.9432335
310	558.8146896
311	558.766192
312	558.6892633
313	558.5969167
314	558.5532894
315	558.5220021
316	558.4581414
317	558.3982228
318	558.3012403
319	558.2289181
320	558.2032596
321	558.157593
322	558.083017
323	558.0209341
324	557.9305315
325	557.7485457
326	557.6761052
327	557.5828196
328	557.4976481
329	557.4630157
330	557.3914155
331	557.3392006
332	557.2629426
333	557.1790554
334	557.1048518
335	557.0498351
336	556.9392181
337	556.883243
338	556.8331588
339	556.7133998
340	556.6837683
341	556.6226745
342	556.5856712
343	556.5233345
344	556.4675367
345	556.442954
346	556.4027713
347	556.34542
348	556.2779968
349	556.1147808
350	556.0865787
351	556.0550833
352	555.9919533
353	555.9247484
354	555.8911439
355	555.8137609
356	555.7582613
357	555.6816756
358	555.5629928
359	555.5035987
360	555.4309553
361	555.3737505
362	555.2782974
363	555.1814503
364	555.1222209
365	555.0188939
